Location Name,District,Governorate,Latitude,Longitude,Population,Economic,Social,Number of Families,Date,Origin
Domez complex,Telafar,Ninewa,36.70944532,42.61870804,0.891,0.137,18.1,300,13-Apr-17,Dahuk
kirver village,Telafar,Ninewa,36.685933,42.598468,0.884,0.194,34.3,850,10-Jul-15,Dahuk
Sahilah Village,Telafar,Ninewa,37.0132505,42.34194814,0.883,0.345,27.3,200,13-Apr-17,Dahuk
Omar khaild Village,Telafar,Ninewa,36.93171304,42.36031831,0.879,0.301,34.3,100,13-Apr-17,Dahuk
Jukhri Village,Telafar,Ninewa,36.97579162,42.34656093,0.868,0.184,29.3,60,13-Apr-17,Dahuk
Ain aawes,Telafar,Ninewa,36.84450574,42.38248555,0.867,0,30,124,13-Apr-17,Dahuk
Hamd Agha Village,Telafar,Ninewa,36.81731267,42.41749355,0.866,0,34.5,200,13-Apr-17,Dahuk
Bardiah complex,Telafar,Ninewa,36.79922283,42.47037459,0.853,0.16,23.6,600,13-Apr-17,Dahuk
Hokna,Telafar,Ninewa,36.56320404,42.55695594,0.847,0.096,18.1,138,13-Apr-17,Dahuk
Fakerok,Telafar,Ninewa,36.58480227,42.48517856,0.843,0.119,34.3,110,13-Apr-17,Dahuk
Khan safih,Telafar,Ninewa,36.84395461,42.36052165,0.842,0.194,34.3,100,13-Apr-17,Dahuk
Karbir,Telafar,Ninewa,36.902262,42.395274,0.837,0,12.1,82,13-Apr-17,Dahuk
wanna center,Tilkaif,Ninewa,36.53245674,42.7592298,0.836,0.102,24,1700,13-Apr-17,Dahuk
Manara,Tilkaif,Ninewa,36.61512855,42.98922177,0.824,0.151,12.1,300,13-Apr-17,Dahuk
Tal Adas,Tilkaif,Ninewa,36.61065095,42.98327307,0.812,0.087,25.7,287,13-Apr-17,Dahuk
Babnet Village ,Tilkaif,Ninewa,36.59666961,42.87834996,0.811,0.167,34.5,64,13-Apr-17,Dahuk
Baaja,Al-Shirqat,Salah al-Din,35.538307,43.224873,0.806,0.047,32,4,13-Apr-17,Dahuk
Hay Al Askari,Al-Shirqat,Salah al-Din,35.5130672,43.23901244,0.804,0.153,34.3,13,13-Apr-17,Dahuk
Albu Tuama Village,Baiji,Salah al-Din,34.8201873,43.5295816,0.801,0.192,25.7,3,13-Apr-17,Dahuk
Hay Al Asry Al Jadid-404,Tikrit,Salah al-Din,34.60299367,43.67718863,0.799,0.192,25.7,18,13-Apr-17,Dahuk
Qadisya 2 500 Area,Tikrit,Salah al-Din,34.65833909,43.65228759,0.792,0.271,34.3,100,13-Apr-17,Dahuk
Al-Mutaradah 204,Tikrit,Salah al-Din,34.62745128,43.66986475,0.779,0.271,34.3,2,13-Apr-17,Dahuk
Al Mahzam village,Tikrit,Salah al-Din,34.72576421,43.63827766,0.778,0,24,2,13-Apr-17,Dahuk
Al Zallayah village,Tikrit,Salah al-Din,34.45798508,43.72672328,0.776,0,30,55,13-Apr-17,Dahuk
Hay Al Anwaa Mahala 420,Tikrit,Salah al-Din,34.573702,43.6828547,0.774,0.134,25.5,25,13-Apr-17,Dahuk
Hay Aljamiyaa,Tikrit,Salah al-Din,34.595911,43.67360203,0.773,0,24,7,13-Apr-17,Dahuk
Hay AL Suqour,Tikrit,Salah al-Din,34.70311367,43.6120917,0.769,0.238,28.2,5,13-Apr-17,Dahuk
Hay Salma Altaghlubia,Tikrit,Salah al-Din,34.61217676,43.68086113,0.761,0.192,25.7,6,13-Apr-17,Dahuk
Qadisya 1 Mahala 214,Tikrit,Salah al-Din,34.62769975,43.66993265,0.761,0.345,27.3,22,13-Apr-17,Dahuk
Qadisya 2 Mahala 216,Tikrit,Salah al-Din,34.6490752,43.65431644,0.76,0.271,34.3,100,13-Apr-17,Dahuk
Hay Al Dhubbat,Tikrit,Salah al-Din,34.63305736,43.6672868,0.76,0.301,34.3,27,13-Apr-17,Dahuk
Al Rmelat Village,Al-Khalis,Diyala,34.07924516,44.86357098,0.757,0.301,34.3,37,13-Apr-17,Diyala
